name,code,alias,level,status,latitude,longitude,parent_name,parent_code
Мурманская область,47,murmanskaia-oblast,1,FALSE,67.926546,34.157046,,
Ненецкий автономный округ,10011,nenetskii-avtonomnyi-okrug,1,FALSE,67.714212,54.365062,,
Красноярский край,4,krasnoiarskii-krai,1,FALSE,67.236779,95.968477,,
Ямало-Ненецкий автономный округ,71140,iamalo-nenetskii-avtonomnyi-okrug,1,FALSE,66.086435,80.005397,,
Чукотский автономный округ,77,chukotskii-avtonomnyi-okrug,1,FALSE,65.982613,174.432311,,
Республика Саха (Якутия),98,respublika-sakha-iakutiia,1,FALSE,65.061073,119.845652,,
Республика Коми,87,respublika-komi,1,FALSE,64.125463,54.789669,,
Архангельская область,11,arkhangelskaia-oblast,1,FALSE,63.637517,43.336661,,
Республика Карелия,86,respublika-kareliia,1,FALSE,63.621324,33.232608,,
Магаданская область,44,magadanskaia-oblast,1,FALSE,62.575815,154.036835,,
Ханты-Мансийский автономный округ - Югра,71100,khanty-mansiiskii-avtonomnyi-okrug-iugra,1,FALSE,61.588912,65.897508,,
Камчатский край,30,kamchatskii-krai,1,FALSE,61.350179,169.782981,,
Вологодская область,19,vologodskaia-oblast,1,FALSE,60.138988,44.049618,,
Санкт-Петербург,40,sankt-peterburg,1,TRUE,59.939095,30.315868,,
Ленинградская область,41,leningradskaia-oblast,1,TRUE,59.337013,29.608975,,
Пермский край,57,permskii-krai,1,FALSE,59.117698,56.225679,,
Томская область,69,tomskaia-oblast,1,TRUE,58.949193,78.63728,,
Кировская область,33,kirovskaia-oblast,1,TRUE,58.603581,49.667978,,
Свердловская область,65,sverdlovskaia-oblast,1,FALSE,58.586755,61.530761,,
Костромская область,34,kostromskaia-oblast,1,FALSE,58.456003,43.788495,,
Новгородская область,49,novgorodskaia-oblast,1,FALSE,58.307715,32.490222,,
Ярославская область,78,iaroslavskaia-oblast,1,TRUE,57.817361,39.105138,,
Тюменская область,71,tiumenskaia-oblast,1,FALSE,57.541821,68.096045,,
Псковская область,58,pskovskaia-oblast,1,FALSE,57.236486,29.236911,,
Удмуртская Республика,94,udmurtskaia-respublika,1,FALSE,57.166784,52.796972,,
Иркутская область,25,irkutskaia-oblast,1,TRUE,57.100294,106.363305,,
Тверская область,28,tverskaia-oblast,1,FALSE,57.093033,34.706195,,
Ивановская область,24,ivanovskaia-oblast,1,FALSE,56.967836,41.966406,,
Республика Марий Эл,88,respublika-marii-el,1,TRUE,56.485739,48.197858,,
Нижегородская область,22,nizhegorodskaia-oblast,1,TRUE,56.312764,44.611891,,
Омская область,52,omskaia-oblast,1,FALSE,56.103472,73.344416,,
